Unnamed: 0,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,GarageArea,PavedDrive,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
23,0,4,4224,1,2,3,0,4,0,2,5,7,1976,1976,1,0,0,2,3,840,0,200,1040,1,0,1060,1,0,1,0,3,1,0,6,1,0,2,572,2,110,0,0,0,0,0,6,2007,2,5,129900
24,4,3,8246,1,3,3,0,4,0,2,5,7,1968,2001,1,0,0,1,0,188,0,204,1060,1,0,1060,1,0,1,0,3,1,3,6,1,0,1,270,2,90,0,0,0,0,0,8,2010,2,5,154000
25,4,3,14230,1,2,3,0,0,0,2,8,5,2007,2007,2,410,3,2,3,0,0,1566,1566,1,0,1600,0,0,2,0,3,1,3,7,1,3,3,890,2,56,0,0,0,0,0,5,2009,2,5,256300
26,4,3,7200,1,2,3,0,0,0,2,5,7,1951,2000,1,0,0,1,0,234,0,180,900,1,0,900,0,0,1,0,3,1,3,5,0,4,2,576,2,32,0,0,0,0,0,8,2010,2,5,134800
27,4,3,11478,1,2,3,0,4,0,2,8,5,2007,2008,2,200,3,2,1,1218,0,486,1704,1,0,1704,1,0,2,0,3,1,3,7,1,3,3,772,2,50,0,0,0,0,0,8,2010,2,5,306000
29,5,4,6324,1,3,3,0,4,0,2,4,6,1927,1950,1,0,0,0,0,0,0,520,520,0,0,520,0,0,1,0,1,1,2,4,0,4,1,240,2,0,0,0,0,0,0,8,2008,2,5,68500
30,10,0,8500,1,2,3,0,4,0,5,4,4,1920,1950,1,0,0,0,0,0,0,649,649,0,0,1317,0,0,1,0,3,1,0,6,0,4,1,250,0,54,0,0,0,0,0,5,2008,2,5,40000
31,4,3,8544,1,3,3,0,1,0,2,5,6,1966,2006,1,0,0,1,0,0,0,1228,1228,1,0,1228,0,0,1,1,3,1,3,6,0,4,1,271,2,65,0,0,0,0,0,6,2008,2,5,149350
32,4,3,11049,1,2,3,0,0,0,2,8,5,2007,2007,1,0,3,2,1,0,0,1234,1234,1,0,1234,0,0,2,0,3,1,3,7,0,4,2,484,2,30,0,0,0,0,0,4,2008,2,5,179900
33,4,3,10552,1,3,3,0,4,0,2,5,5,1959,1959,1,0,0,1,0,1018,0,380,1398,1,0,1700,0,0,1,1,4,1,3,6,1,3,2,447,2,38,0,0,0,0,0,0,2010,2,5,165500
34,0,3,7313,1,2,3,0,4,0,2,9,5,2005,2005,1,246,1,2,1,1153,0,408,1561,1,0,1561,1,0,2,0,2,1,1,6,1,3,2,556,2,47,0,0,0,0,0,1,2007,2,5,277500
35,9,3,13418,1,2,3,0,4,0,5,8,5,2004,2005,2,132,3,2,1,0,0,1117,1117,1,0,2452,0,0,3,1,4,1,3,9,1,3,3,691,2,32,0,0,0,0,0,11,2006,2,5,309000
36,4,3,10859,1,2,3,0,0,0,2,5,5,1994,1995,1,0,0,2,3,0,0,1097,1097,1,0,1097,0,0,1,1,3,1,0,6,0,4,2,672,2,64,0,0,0,0,0,6,2009,2,5,145000
37,4,3,8532,1,2,3,0,4,0,2,5,6,1954,1990,1,410,0,1,0,1213,0,84,1297,1,0,1297,0,0,1,0,3,1,0,5,1,0,2,498,2,0,0,0,0,0,0,10,2009,2,5,153000
38,4,3,7922,1,2,3,0,4,0,2,5,7,1953,2007,1,0,0,1,0,731,0,326,1057,1,0,1057,1,0,1,0,3,1,3,5,0,4,1,246,2,52,0,0,0,0,0,4,2010,2,0,109000
40,4,3,8658,1,2,3,0,4,0,2,6,5,1965,1965,1,101,0,1,0,643,0,445,1088,1,0,1324,0,0,2,0,3,1,0,6,1,0,2,440,2,138,0,0,0,0,0,2,2006,2,0,160000
41,4,3,16905,1,2,3,0,4,0,2,5,6,1959,1959,1,0,0,1,0,967,0,383,1350,1,0,1328,0,0,1,1,2,1,0,5,2,3,1,308,1,104,0,0,0,0,0,5,2007,2,5,170000
42,13,3,9180,1,3,3,0,1,0,6,5,7,1983,1983,1,0,0,1,3,747,0,0,840,1,0,884,1,0,1,0,2,1,3,5,0,4,2,504,2,0,0,0,0,0,0,2,2007,2,5,144000
43,4,3,9200,1,3,3,0,1,0,2,5,6,1975,1980,1,0,0,1,3,280,0,167,938,1,0,938,1,0,1,0,3,1,0,5,0,4,1,308,2,0,0,0,0,0,0,5,2008,2,5,130250
44,4,3,7945,1,2,3,0,4,0,2,5,6,1959,1959,1,0,0,1,0,179,0,465,1150,1,0,1150,1,0,1,0,3,1,0,6,0,4,1,300,2,0,0,0,0,0,0,8,2006,2,5,141000
46,8,3,12822,1,3,3,0,1,0,0,7,5,2003,2003,1,0,3,2,1,1351,0,83,1434,1,0,2149,1,0,1,1,1,1,3,6,1,1,2,670,2,43,0,0,0,0,0,1,2009,2,0,239686
47,4,1,11096,1,2,3,0,4,0,2,8,5,2006,2006,1,0,3,2,3,24,0,1632,1656,1,0,1656,0,0,2,0,3,1,3,7,0,4,3,826,2,146,0,0,0,0,0,5,2007,2,5,249700
48,3,4,4456,1,2,3,0,4,0,5,4,5,1920,2008,1,0,0,0,0,0,0,736,736,1,0,1452,0,0,2,0,2,1,0,8,0,4,0,0,0,0,0,0,0,0,0,6,2009,7,4,113000
49,4,3,7742,1,2,3,0,4,0,2,5,7,1966,1966,1,0,0,1,0,763,0,192,955,1,0,955,1,0,1,0,3,1,0,6,0,4,1,386,2,0,0,0,0,0,0,4,2007,2,5,127000
50,9,3,13869,1,1,3,0,0,0,5,6,6,1997,1997,1,0,0,2,3,182,0,612,794,1,0,1470,0,0,2,0,3,1,0,6,0,4,2,388,2,75,0,0,0,0,0,5,2007,2,5,177000
51,8,4,6240,1,2,3,0,4,0,0,6,6,1934,1950,1,0,0,2,0,0,0,816,816,1,0,1176,0,0,1,0,3,1,0,6,1,3,2,528,2,0,0,0,0,0,0,11,2006,2,5,114500
52,14,4,8472,0,1,0,0,0,1,2,5,5,1963,1963,1,0,2,1,3,104,0,0,816,0,0,816,1,0,1,0,2,1,0,5,0,4,2,516,2,0,0,0,0,0,0,8,2010,2,5,110000
54,12,3,7134,1,2,0,0,4,1,7,5,5,1955,1955,1,0,0,1,0,384,0,0,384,1,0,1360,0,0,1,0,3,1,0,6,1,0,2,572,2,50,0,0,0,0,0,3,2007,2,5,130000
55,4,3,10175,1,3,3,0,4,0,2,6,5,1964,1964,1,272,0,1,0,490,0,935,1425,1,0,1425,0,0,2,0,3,1,0,7,1,3,2,576,2,0,0,0,0,0,0,5,2008,2,5,180500
56,1,1,2645,1,2,3,0,4,0,5,8,5,1999,2000,1,410,3,2,3,649,0,321,970,1,0,1739,1,0,2,1,3,1,3,7,0,4,2,480,2,0,0,0,0,0,0,1,2009,2,0,172500
57,9,3,11645,1,3,3,0,0,0,5,7,5,2004,2004,1,0,3,2,3,0,0,860,860,1,0,1720,0,0,2,1,3,1,3,7,0,4,2,565,2,70,0,0,0,0,0,1,2006,2,5,196500
59,4,3,7200,1,2,0,0,4,0,2,5,7,1972,1972,1,0,0,1,0,632,0,148,780,1,0,780,0,0,1,0,2,1,0,4,0,4,1,352,2,0,0,0,0,0,0,4,2008,2,5,124900
60,4,3,13072,1,2,3,0,4,0,2,6,5,2004,2004,1,0,0,2,3,941,0,217,1158,1,0,1158,1,0,1,1,3,1,3,5,0,4,2,576,2,50,0,0,0,0,0,8,2006,7,4,158000
61,11,4,7200,1,2,3,0,4,0,4,5,7,1920,1996,1,0,0,0,0,0,0,530,530,0,0,1111,0,0,1,0,3,1,2,6,0,4,1,288,0,0,0,0,0,0,0,7,2007,2,5,101000
62,0,3,6442,1,3,3,0,4,0,2,8,5,2006,2006,2,178,3,2,3,24,0,1346,1370,1,0,1370,0,0,2,0,2,1,3,6,1,3,2,484,2,49,0,0,0,0,0,10,2007,2,5,202500
63,10,4,10300,1,3,0,0,4,0,5,7,6,1921,1950,1,0,0,0,0,0,0,576,576,1,0,1710,0,0,2,0,3,1,0,9,0,4,2,480,2,11,0,0,0,0,0,0,2010,2,5,140000
64,9,3,9375,1,2,3,0,4,0,5,7,5,1997,1998,1,410,0,2,3,739,0,318,1057,1,0,2034,1,0,2,1,3,1,3,8,0,4,2,645,2,36,0,0,0,0,0,3,2009,2,5,219500
65,9,3,9591,1,2,3,0,4,0,5,8,5,2004,2005,1,344,3,2,1,0,0,1143,1143,1,0,2473,0,0,2,1,4,1,3,9,1,3,3,852,2,151,0,0,0,0,0,10,2007,2,5,317000
66,4,3,17673,1,2,3,0,4,0,2,7,5,1970,1989,1,287,0,1,3,912,0,1035,1947,1,0,2207,1,0,2,0,3,1,0,7,1,3,2,576,2,0,0,0,0,0,0,5,2010,2,5,180000
67,4,3,10665,1,3,3,0,4,0,2,7,5,2003,2003,1,167,3,2,3,1013,0,440,1453,1,0,1479,1,0,2,0,3,1,3,7,0,4,2,558,2,29,0,0,0,0,0,6,2007,2,5,226000
68,5,4,4608,1,2,3,0,0,0,2,4,6,1945,1950,1,0,0,1,0,0,0,747,747,1,0,747,0,0,1,0,2,1,0,4,0,4,1,220,2,0,0,0,0,0,0,6,2010,2,5,80000
69,8,3,15593,1,2,3,0,0,0,0,7,4,1953,1953,1,0,3,1,0,603,0,701,1304,1,0,2287,0,0,2,0,3,1,0,7,1,0,2,667,2,21,0,0,0,0,0,5,2006,2,5,225000
71,4,3,7599,1,2,3,0,0,0,2,4,6,1982,2006,1,0,0,1,0,565,0,280,845,1,0,845,1,0,1,0,2,1,0,4,0,4,2,360,2,0,0,0,0,0,0,6,2007,2,5,129500
72,9,3,10141,1,3,3,0,0,0,5,7,5,1998,1998,1,40,0,2,3,0,0,832,832,1,0,1718,0,0,2,1,3,1,0,7,1,0,2,427,2,94,0,0,0,0,0,2,2009,2,5,185000
73,4,3,10200,1,2,3,0,4,0,2,5,7,1954,2003,1,104,0,1,0,320,0,404,1086,1,0,1086,1,0,1,0,3,1,0,6,0,4,2,490,2,0,0,0,0,0,0,8,2010,2,5,144900
74,8,4,5790,1,2,3,0,0,0,5,3,6,1915,1950,1,0,3,1,2,0,0,840,840,0,0,1605,0,0,2,0,3,1,0,8,0,4,1,379,2,0,0,0,0,0,0,8,2010,2,5,107400
75,2,4,1596,1,2,3,0,4,0,7,4,5,1973,1973,1,0,0,1,3,462,0,0,462,1,0,988,1,0,1,0,2,1,0,5,0,4,1,297,2,101,0,0,0,0,0,9,2009,2,5,91000
76,4,3,8475,1,3,3,0,4,0,2,4,7,1956,1956,1,0,0,1,0,228,0,724,952,1,0,952,0,0,1,0,2,1,0,4,0,4,1,283,2,0,0,0,0,0,0,0,2008,2,5,135750
77,8,4,8635,1,2,3,0,4,0,0,5,5,1948,2001,1,0,0,1,0,336,0,295,672,1,0,1285,1,0,1,0,2,1,0,6,0,4,1,240,2,0,0,0,0,0,0,4,2008,2,5,127000
78,14,3,10778,1,2,3,0,4,0,2,4,5,1968,1968,1,0,0,1,0,0,0,1685,1768,0,0,1768,0,0,2,0,4,1,0,8,0,4,0,0,2,0,0,0,0,0,0,0,2010,2,5,136500
79,8,4,10440,1,2,3,0,0,0,5,5,6,1910,1981,1,0,0,2,0,0,0,440,440,1,0,1230,0,0,1,1,2,1,0,5,0,4,2,440,2,0,0,0,0,0,0,8,2009,2,5,110000
80,9,3,13000,1,2,3,0,0,0,5,6,6,1968,1968,1,410,0,1,3,448,0,448,896,1,0,2142,0,0,2,1,4,1,3,8,1,3,1,509,2,72,0,0,0,0,0,6,2009,2,5,193500
82,4,3,10206,1,2,3,0,4,0,2,8,5,2007,2007,2,410,0,2,3,33,0,1530,1563,1,0,1563,0,0,2,0,3,1,3,6,1,3,3,758,2,99,0,0,0,0,0,10,2008,2,5,245000
83,4,3,8892,1,3,3,0,4,0,2,5,5,1960,1960,0,66,0,1,0,0,0,1065,1065,1,0,1065,0,0,1,1,3,1,0,6,0,4,2,461,2,0,0,0,0,0,0,5,2007,3,5,126500
84,12,3,8530,1,3,3,0,4,0,7,7,5,1995,1996,1,22,0,2,3,0,0,384,384,1,0,1474,0,0,2,1,3,1,0,7,1,0,2,400,2,72,0,0,0,0,0,8,2009,2,5,168500
85,9,3,16059,1,2,3,0,0,0,5,8,5,1991,1992,1,284,3,1,3,0,0,1288,1288,1,0,2417,0,0,2,1,4,1,3,9,1,0,2,462,2,82,0,0,0,0,0,0,2006,2,5,260000
86,9,3,11911,1,1,3,0,4,0,5,6,5,2005,2005,1,0,3,2,3,0,0,684,684,1,0,1560,0,0,2,1,3,1,3,6,1,3,2,400,2,38,0,0,0,0,0,7,2009,2,5,174000
89,4,3,8070,1,2,3,0,4,0,2,4,5,1994,1995,1,0,0,2,3,588,0,402,990,1,0,990,1,0,1,0,3,1,0,5,0,4,0,0,2,0,0,0,0,0,0,1,2007,2,5,123600
92,5,3,13360,1,3,1,0,4,0,2,5,7,1921,2006,1,0,0,0,3,713,0,163,876,1,0,964,1,0,1,0,2,1,0,5,0,4,2,432,2,0,0,0,0,0,0,1,2009,2,5,163500
93,3,0,7200,1,2,3,0,0,0,4,6,6,1910,1998,1,0,0,0,0,1046,0,168,1214,0,0,2291,0,0,2,0,4,1,0,9,1,3,2,506,2,0,0,0,0,0,0,9,2007,2,5,133900
94,9,3,9337,1,3,3,0,4,0,5,6,5,1997,1997,1,0,0,2,3,648,0,176,824,1,0,1786,1,0,2,1,3,1,3,7,0,4,2,684,2,162,0,0,0,0,0,8,2007,2,5,204750
95,9,3,9765,1,1,3,0,0,0,5,6,7,1993,1993,1,68,1,2,3,310,0,370,680,1,0,1470,0,0,2,1,3,1,0,6,1,0,2,420,2,63,0,0,0,0,0,0,2009,2,5,185000
96,4,3,10264,1,3,3,0,4,0,2,7,5,1999,1999,1,183,3,2,3,1162,0,426,1588,1,0,1588,0,0,2,0,3,1,3,6,0,4,2,472,2,29,0,0,0,0,0,1,2006,2,5,214000
97,4,3,10921,1,2,1,0,4,0,2,4,5,1965,1965,1,48,0,1,0,520,0,440,960,1,0,960,1,0,1,0,3,1,0,6,0,4,1,432,1,0,0,0,0,0,0,8,2007,2,5,94750
98,5,3,10625,1,2,3,0,0,0,2,5,5,1920,1950,1,0,0,0,0,108,0,350,458,0,0,835,0,0,1,0,2,1,0,5,0,4,1,366,2,0,0,0,0,0,0,8,2010,3,0,83000
99,4,3,9320,1,3,3,0,4,0,2,4,5,1959,1959,1,0,0,1,0,569,0,381,950,1,0,1225,1,0,1,1,3,1,0,6,0,4,0,0,2,0,0,0,0,0,0,4,2010,2,5,128950
100,4,3,10603,1,3,3,0,4,0,2,6,7,1977,2001,1,28,0,2,0,1200,0,410,1610,1,0,1610,1,0,2,0,3,1,3,6,2,0,2,480,2,68,0,0,0,0,0,3,2010,2,5,205000
101,9,3,9206,1,2,3,0,4,0,5,6,5,1985,1985,1,336,3,1,3,0,0,741,741,1,0,1732,0,0,2,1,3,1,3,7,1,0,2,476,2,46,0,0,0,0,0,6,2010,2,5,178000
103,4,3,10402,1,3,3,0,0,0,2,7,5,2009,2009,1,0,0,2,3,0,0,1226,1226,1,0,1226,0,0,2,0,3,1,3,6,0,4,3,740,2,36,0,0,0,0,0,8,2010,2,5,198900
104,8,4,7758,1,2,3,0,0,0,0,7,4,1931,1950,1,410,0,2,0,224,0,816,1040,1,0,1818,0,0,1,1,4,1,0,7,2,0,1,240,2,0,0,0,0,0,0,6,2007,2,5,169500
105,9,1,9375,1,2,3,0,4,0,5,8,5,2003,2004,1,410,3,2,1,0,0,1053,1053,1,0,1992,0,0,2,1,3,1,3,9,1,3,2,648,2,45,0,0,0,0,0,1,2008,2,5,250000
106,5,4,10800,1,2,3,0,4,0,2,4,7,1885,1995,1,0,0,0,2,0,0,641,641,1,0,1047,0,0,1,0,2,1,0,6,0,4,1,273,0,0,0,0,0,0,0,1,2007,2,5,100000
107,4,4,6000,1,2,3,0,4,0,2,5,5,1948,1950,1,0,0,1,0,104,0,516,789,1,0,789,0,0,1,0,2,1,0,5,0,4,1,250,2,0,0,0,0,0,0,0,2008,2,4,115000
108,8,4,8500,1,2,3,0,0,0,0,5,7,1919,2005,1,0,0,1,0,0,0,793,793,0,0,1517,0,0,2,0,3,1,2,7,0,4,0,0,0,0,0,0,0,0,0,1,2007,2,5,115000
109,4,3,11751,1,3,3,0,4,0,2,6,6,1977,1977,1,410,0,1,3,705,0,1139,1844,1,0,1844,0,0,2,0,3,1,0,7,1,0,2,546,2,122,0,0,0,0,0,4,2010,3,5,190000
110,8,3,9525,1,2,3,0,4,0,0,6,4,1954,1972,1,0,0,1,0,444,0,550,994,1,0,1855,0,0,2,0,4,1,0,7,0,4,1,325,2,0,0,0,0,0,0,10,2006,2,5,136900
111,12,3,7750,1,3,3,0,4,0,7,7,5,2000,2000,1,0,0,2,3,250,0,134,384,1,0,1430,0,0,2,1,3,1,0,7,1,0,2,400,2,0,0,0,0,0,0,0,2010,2,5,180000
113,4,3,17673,1,2,0,0,0,0,2,6,5,1953,1953,1,184,0,1,3,35,0,905,1809,1,0,2259,1,0,2,0,3,1,3,7,2,3,2,450,2,120,0,0,0,0,0,10,2007,3,0,217000
114,10,3,7259,1,3,3,0,4,1,5,6,7,1945,2002,1,0,0,1,0,774,0,104,1028,1,0,2320,1,0,2,1,3,1,3,9,1,0,1,180,2,0,0,0,0,0,0,5,2007,2,5,259500
115,1,1,3230,1,2,3,0,0,0,5,6,5,1999,1999,1,410,0,2,3,419,0,310,729,1,0,1458,0,0,2,1,2,1,0,5,1,2,2,440,2,32,0,0,0,0,0,6,2007,2,5,176000
116,4,3,11616,1,2,3,0,4,0,2,5,5,1962,1962,1,116,0,1,0,170,0,252,1092,1,0,1092,0,0,1,0,3,1,0,6,1,5,1,288,2,20,0,0,0,0,0,11,2009,2,5,139000
117,4,3,8536,1,2,3,0,0,0,2,5,5,2006,2007,1,0,0,2,3,0,0,1125,1125,1,0,1125,0,0,1,1,2,1,0,5,0,4,2,430,2,64,0,0,0,0,0,0,2007,7,4,155000
119,9,3,8461,1,2,3,0,4,0,5,6,5,2005,2006,1,0,3,2,3,0,0,728,728,1,0,1456,0,0,2,1,3,1,3,8,1,3,2,390,2,24,0,0,0,0,0,5,2006,7,4,163990
120,12,3,17673,1,3,2,0,1,2,7,6,5,1969,1969,1,0,0,1,0,938,0,0,938,1,0,988,1,0,1,0,1,1,0,4,2,0,2,540,2,130,0,0,0,0,0,10,2006,2,5,180000
121,8,4,6060,1,2,3,0,4,0,0,4,5,1939,1950,1,0,0,2,0,0,0,732,732,1,0,1123,0,0,1,0,3,1,0,4,0,4,1,264,1,0,0,0,0,0,0,6,2007,2,5,100000
122,4,3,9464,1,2,3,0,0,0,2,6,7,1958,1958,1,135,0,1,0,570,0,510,1080,1,0,1080,0,0,1,0,3,1,0,5,0,4,1,288,2,0,0,0,0,0,0,6,2008,2,5,136000
123,0,3,7892,1,2,3,0,4,0,2,6,5,1993,1993,1,0,3,2,3,300,0,899,1199,1,0,1199,0,0,2,0,2,1,3,5,0,4,2,530,2,63,0,0,0,0,0,7,2008,2,5,153900
124,4,3,17043,1,3,3,0,1,0,2,6,5,1979,1998,1,0,0,1,3,0,0,1362,1362,1,0,1586,0,0,2,0,3,1,0,7,1,0,2,435,2,0,0,0,0,0,0,4,2009,2,5,181000
125,3,4,6780,1,2,3,0,4,0,0,6,7,1935,1982,1,0,0,1,0,490,0,30,520,0,0,754,1,0,1,0,2,1,0,5,0,4,0,0,0,0,0,0,0,0,0,6,2006,2,5,84500
127,7,4,4388,1,3,0,0,4,0,1,5,7,1930,1950,1,0,0,0,0,116,0,556,672,1,0,840,0,0,1,0,3,1,0,5,1,0,0,0,0,0,0,0,0,0,0,6,2007,2,5,87000
128,9,3,7590,1,2,3,0,4,0,5,6,5,1966,1966,1,266,0,1,0,512,0,148,660,1,0,1348,0,0,1,1,3,1,0,6,1,2,2,453,2,108,0,0,0,0,0,5,2006,2,5,155000
129,4,3,8973,1,2,3,0,4,0,2,5,7,1958,1991,1,85,0,1,0,567,0,413,1008,1,0,1053,0,0,1,1,3,1,1,6,0,4,2,750,2,80,0,0,0,0,0,5,2006,2,0,150000
130,9,3,14200,1,2,3,0,0,0,5,7,6,1966,1966,1,309,0,1,0,445,0,479,924,1,0,2157,0,0,2,1,4,1,3,8,2,3,2,487,2,66,0,0,0,0,0,8,2006,2,5,226000
131,9,3,12224,1,3,3,0,0,0,5,6,5,2000,2000,1,40,3,2,3,695,0,297,992,1,0,2054,1,0,2,1,3,1,3,7,1,0,2,390,2,48,0,0,0,0,0,5,2009,2,5,244000
132,4,3,7388,1,2,3,0,0,0,2,5,6,1959,2002,1,0,0,1,0,405,0,658,1063,1,0,1327,1,0,1,0,3,1,3,7,0,4,2,624,2,0,0,0,0,0,0,5,2007,2,5,150750
133,4,3,6853,1,3,3,0,4,0,2,8,5,2001,2002,1,136,3,2,1,1005,0,262,1267,1,0,1296,1,0,2,0,2,1,3,6,0,4,2,471,2,25,0,0,0,0,0,6,2009,2,5,220000
134,4,3,10335,1,3,3,0,4,0,2,5,6,1968,1993,1,0,0,1,0,570,0,891,1461,1,0,1721,0,0,2,1,3,1,0,7,1,0,2,440,2,96,0,0,0,0,0,5,2006,2,5,180000
135,4,3,10400,1,2,3,0,4,0,2,7,6,1970,1970,1,288,0,2,0,0,0,1304,1304,1,0,1682,0,0,2,0,3,1,0,7,1,3,2,530,2,0,0,0,0,0,0,8,2008,2,5,174000
136,4,3,10355,1,3,3,0,0,0,2,5,5,1967,1967,1,196,0,1,0,695,0,519,1214,1,0,1214,0,0,2,0,3,1,0,5,1,2,1,318,2,111,0,0,0,0,0,5,2007,2,5,143000
137,14,3,11070,1,2,3,0,4,0,2,7,5,1988,1989,1,70,0,1,0,0,0,1685,1907,1,0,1959,0,0,3,0,4,1,0,9,0,4,3,766,2,0,0,0,0,0,0,5,2006,2,3,171000
138,9,3,9066,1,3,3,0,4,0,5,8,5,1999,2000,1,320,3,2,3,668,0,336,1004,1,0,1852,0,0,2,1,3,1,3,7,2,0,3,660,2,106,0,0,0,0,0,2,2008,2,5,230000
139,9,3,15426,1,3,3,0,4,0,5,6,5,1997,1997,1,0,0,2,3,821,0,107,928,1,0,1764,1,0,2,1,3,1,3,7,0,4,2,470,2,99,0,0,0,0,0,1,2009,2,5,231500
140,4,3,10500,1,2,3,0,2,0,2,4,5,1971,1971,1,0,0,1,0,432,0,432,864,1,0,864,0,0,1,0,3,1,0,5,1,5,0,0,2,0,0,0,0,0,0,0,2010,6,5,115000
141,4,3,11645,1,2,3,0,4,0,2,7,5,2005,2005,1,0,3,2,3,1300,0,434,1734,1,0,1734,1,0,2,0,3,1,3,7,0,4,2,660,2,24,0,0,0,0,0,4,2006,2,5,260000
